#Archive/File	Name	Time	Size	Type
Archive	GSE4036_RAW.tar	01/17/2013 13:34:05	213954560	TAR
File	GSM92460.cel.gz	12/04/2006 13:18:31	7804939	CEL
File	GSM92461.cel.gz	12/04/2006 13:18:37	7495930	CEL
File	GSM92462.cel.gz	12/04/2006 13:18:43	7390277	CEL
File	GSM92463.cel.gz	12/04/2006 13:18:49	7420377	CEL
File	GSM92464.cel.gz	12/04/2006 13:18:54	7797746	CEL
File	GSM92465.cel.gz	12/04/2006 13:19:01	7731965	CEL
File	GSM92466.cel.gz	12/04/2006 13:19:07	7718229	CEL
File	GSM92467.cel.gz	12/04/2006 13:19:13	7849279	CEL
File	GSM92468.cel.gz	12/04/2006 13:19:18	7654571	CEL
File	GSM92469.cel.gz	12/04/2006 13:19:24	7620695	CEL
File	GSM92470.cel.gz	12/04/2006 13:19:30	7393226	CEL
File	GSM92471.cel.gz	12/04/2006 13:19:36	7430934	CEL
File	GSM92472.cel.gz	12/04/2006 13:19:42	7567002	CEL
File	GSM92473.cel.gz	12/04/2006 13:19:48	7753016	CEL
File	GSM92474.cel.gz	12/04/2006 13:19:54	7649539	CEL
File	GSM92475.cel.gz	12/04/2006 13:20:00	7455082	CEL
File	GSM92476.cel.gz	12/04/2006 13:20:06	7748284	CEL
File	GSM92477.cel.gz	12/04/2006 13:20:12	7765643	CEL
File	GSM92478.cel.gz	12/04/2006 13:20:18	7794273	CEL
File	GSM92479.cel.gz	12/04/2006 13:20:25	7886031	CEL
File	GSM92480.cel.gz	12/04/2006 13:20:31	7827356	CEL
File	GSM92481.cel.gz	12/04/2006 13:20:37	7459097	CEL
File	GSM92482.cel.gz	12/04/2006 13:20:43	7445561	CEL
File	GSM92483.cel.gz	12/04/2006 13:20:49	7425879	CEL
File	GSM92484.cel.gz	12/04/2006 13:20:55	7738190	CEL
File	GSM92485.cel.gz	12/04/2006 13:21:01	7678577	CEL
File	GSM92486.cel.gz	12/04/2006 13:21:08	7720150	CEL
File	GSM92487.cel.gz	12/04/2006 13:21:14	7700247	CEL
